Latitude	Longitude	Group
36.74015	-102.95535	01670
36.13565	-100.35410	00173
45.79882	-70.01369	04610
45.52777	-102.32520	00423
43.75815	-95.47684	01010
41.68881	-94.66524	01201
44.06477	-100.47557	00634
41.20044	-84.94089	06227
37.44856	-100.54773	00390
41.53595	-73.51632	07088
43.06639	-94.93884	00948
43.38551	-88.48061	05356
41.02882	-75.91399	07107
37.38595	-98.14590	02032
44.82333	-73.63817	05297
42.72317	-71.82523	06934
38.14277	-96.43710	00296
40.37698	-86.50946	04876
43.29779	-99.56480	00202
43.68805	-87.86206	05427
39.14820	-79.32508	02252
42.88544	-75.45750	06521
40.44897	-83.69052	05076
46.23403	-98.87353	00717
40.90002	-93.46337	03498
35.91940	-93.88691	04810
34.05911	-101.08358	00027
41.15485	-74.47823	07726
44.91817	-90.74228	06911
36.72568	-99.65398	02398
46.49496	-90.09812	06726
37.64672	-80.35815	06046
39.91653	-97.53420	00806
34.87177	-98.78316	00505
42.70485	-100.54395	00310
47.15812	-96.35939	04414
42.66211	-74.06959	05399
34.86482	-103.52062	00237
36.27526	-93.40019	04356
40.65606	-88.63654	04208
43.50106	-95.38520	00871
43.78117	-83.33474	04989
41.94857	-93.48894	04779
36.02132	-94.44303	05038
42.15194	-86.30067	05571
38.34831	-79.58758	04858
41.01661	-74.54041	07791
43.92587	-96.39180	00954
45.52908	-96.29670	03274
41.33420	-89.92032	04518
42.85038	-84.98486	06721
42.73027	-100.06660	00317
47.55262	-92.64633	06498
47.17159	-101.23038	00171
45.49385	-94.83690	04249
41.57669	-89.46835	04659
35.04197	-103.00334	00532
40.78880	-83.74902	05962
42.49556	-100.07679	00309
39.37871	-75.55572	07830
41.10627	-103.55836	00558
40.36683	-84.14816	06430
43.57220	-92.36800	01842
43.26736	-94.85369	00638
42.63061	-78.29581	05435
46.38180	-95.31610	06574
43.41388	-73.07526	05106
43.80696	-95.89130	00337
36.25033	-101.01536	00195
45.45264	-70.62525	00853
45.24699	-97.90611	00405
45.05646	-96.84291	00116
38.46978	-79.46592	03068
37.87081	-101.79770	00583
40.41017	-87.84408	04640
39.74025	-79.74483	06813
40.47714	-87.43656	04248
43.67337	-93.55121	02063
35.44979	-85.88306	06315
43.93008	-92.74770	01839
45.03253	-99.69730	00585
44.46082	-99.72028	00338
44.05921	-96.26685	00893
36.19622	-99.62038	00632
41.05142	-97.28889	00208
46.13828	-103.63561	00071
41.24648	-89.60761	03693
43.35954	-78.02148	05365
40.98557	-86.40908	05542
41.29973	-73.53352	07565
36.01740	-99.68880	01881
42.17400	-97.94826	00263
42.66759	-99.86277	00272
43.58403	-93.19653	02097
35.61080	-85.76313	07210
43.51627	-71.10949	05400
35.56818	-76.02159	07341
41.24889	-97.17622	00219
46.68964	-87.72616	06064
41.50063	-71.48584	07819
42.78613	-74.70168	03824
38.04813	-75.80386	07460
47.18398	-103.13723	00244
38.29734	-79.69619	04374
43.60399	-90.89856	06095
39.27934	-79.77682	06161
42.51365	-89.98709	05178
34.62421	-94.82394	00851
42.86520	-86.03865	06186
43.18707	-98.06025	00132
45.53939	-69.20515	01273
40.44784	-93.01049	03776
42.63298	-102.87846	00142
36.99493	-101.80690	00975
36.65627	-103.67309	00048
41.26795	-90.04742	04093
44.01199	-98.86181	02386
34.59524	-102.54001	00538
45.77539	-70.21095	01126
43.70772	-83.04905	05869
44.12654	-97.31567	00264
41.35011	-86.95660	05389
36.50399	-100.28414	00797
42.75233	-96.51901	00724
40.65126	-85.24198	05952
42.60861	-79.08252	05149
44.22174	-98.74111	00229
43.02466	-101.30925	00404
40.53391	-78.76800	06734
42.02234	-101.15730	00130
40.41571	-84.08475	06474
40.43355	-95.21721	02884
46.55594	-101.03341	00261
43.34427	-72.75465	02885
41.98491	-88.90627	04470
42.20708	-79.89165	06733
43.35594	-93.27280	03067
43.24938	-95.36631	01582
43.55304	-96.41307	01297
44.50904	-96.15897	00230
40.21808	-84.87662	05508
44.16865	-93.39786	02943
35.81260	-92.73409	05012
44.95404	-96.60688	00224
42.76814	-78.41570	05678
38.50460	-75.09231	07811
34.64642	-103.30768	01270
47.95228	-96.28477	05108
